segment_id,system_id,BERTScore,BLEU,BLEURT-20,COMET-22,CometKiwi,GEMBA-ESA,MEE4,MQM,MetricX-24-Hybrid,MetricX-24-Hybrid-QE,PrismRefMedium,PrismRefSmall,XCOMET,XCOMET-QE,XLsimMqm,YiSi-1,chrF,chrfS,damonmonli,metametrics_mt_mqm_hybrid,metametrics_mt_mqm_qe,sentinel-cand,sentinel-ref,sentinel-src,spBLEU
22,J,0.7551,6.3055,0.1709,0.3768,0.3242,10,0.7466,null,-20.9078,-21.5604,-1.8146,-1.9593,0.0692,0.0262,0.8627,0.8796,39.9839,0.6215,46.3193,0.2356,0.3507,-2.4031,-0.0543,0.0458,10.1846
22,K,0.8205,23.5170,0.3902,0.5285,0.5568,33,0.8011,null,-13.0816,-11.8856,-1.3218,-1.6224,0.4673,0.3809,0.8911,0.9055,44.7150,0.6821,45.8817,0.7648,0.8094,-0.7388,-0.0543,0.0458,20.2922
22,L,0.8771,24.8334,0.5873,0.7694,0.7159,40,0.8247,null,-7.4571,-7.5499,-1.0453,-1.2471,0.6528,0.6202,0.8853,0.9390,58.1579,0.7473,54.2675,1.1094,0.7980,-0.1887,-0.0543,0.0458,31.7454
22,Llama3-70B,0.8539,32.2530,0.7244,0.8278,0.8499,100,0.8437,-7,-1.0659,-0.9689,-0.5966,-0.6705,0.8897,0.8611,0.8768,0.9484,66.2444,0.8018,55.7720,1.3604,1.1425,0.2035,-0.0543,0.0458,35.3530
22,M*,0.8759,29.4979,0.5494,0.7219,0.7294,50,0.8323,-30,-9.5310,-8.6719,-1.0595,-1.2439,0.5807,0.5176,0.8956,0.9370,59.0498,0.7561,52.5710,1.0190,0.8636,-0.3212,-0.0543,0.0458,35.1767
22,Mistral-Large,0.8956,34.1454,0.7397,0.8329,0.8500,100,0.8555,-0,-1.1828,-1.0144,-0.6268,-0.6747,0.9311,0.8872,0.8928,0.9532,66.0741,0.8045,58.1034,1.3743,1.1206,0.2763,-0.0543,0.0458,38.2301
22,ONLINE-A,0.8665,37.8116,0.7007,0.8326,0.8519,100,0.8533,-0,-1.2491,-1.1177,-0.5701,-0.7129,0.9085,0.8909,0.8861,0.9540,65.4688,0.8015,55.1532,1.3630,1.1437,0.2364,-0.0543,0.0458,44.1953
22,ONLINE-B,0.8597,31.9588,0.7643,0.8345,0.8048,100,0.8454,-1,-1.3359,-1.4896,-0.5556,-0.6393,0.9129,0.9389,0.8916,0.9513,68.6187,0.8082,53.6117,1.3807,1.1192,0.2747,-0.0543,0.0458,42.6661
22,ONLINE-W,0.8657,35.3533,0.7247,0.8288,0.8459,100,0.8461,-0,-1.0845,-1.0014,-0.5358,-0.6457,0.9330,0.9391,0.8884,0.9586,68.0740,0.8081,55.3216,1.3567,1.1657,0.2144,-0.0543,0.0458,42.6080
22,TranssionMT,0.8597,31.9588,0.7643,0.8346,0.8047,100,0.8454,-1,-1.3295,-1.4937,-0.5624,-0.6393,0.9129,0.9389,0.8916,0.9513,68.6187,0.8082,53.6117,1.3807,1.1192,0.2747,-0.0543,0.0458,42.6661
22,Unbabel-Tower70B,0.9080,40.8158,0.7140,0.8401,0.8516,100,0.8502,-0,-0.9876,-0.8660,-0.5454,-0.6736,0.9653,0.9363,0.8871,0.9550,65.0933,0.7991,56.5903,1.3942,1.1431,0.2782,-0.0543,0.0458,41.4448
22,refB,0.8531,32.9349,0.7214,0.8475,0.8524,100,0.8520,-0,-1.0805,-0.9064,-0.5678,-0.6531,0.9322,0.8782,0.8889,0.9569,64.2062,0.7924,55.4743,1.3875,1.1408,0.2876,-0.0543,0.0458,41.2091
23,A,0.5613,0.7704,0.1167,0.2305,0.0939,0,0.1869,null,-24.4580,-24.4703,-1.8117,-1.9692,-0.0470,-0.0401,0.7997,0.7915,20.9284,0.1817,5.8819,0.0997,0.1450,-1.7234,0.3440,0.3958,0.6725
23,Aya23,0.7998,20.8304,0.6608,0.8242,0.8250,80,0.7686,-5,-0.8257,-0.7242,-0.9116,-1.0540,0.8933,0.9128,0.8752,0.9266,51.6140,0.6802,57.4822,1.3719,1.1649,0.2784,0.3440,0.3958,22.3237
23,B (50k),0.6597,6.3694,0.1068,0.2597,0.2164,0,0.4828,null,-21.3457,-21.0146,-2.4068,-2.4553,-0.0475,-0.0330,0.7216,0.8392,30.5490,0.4128,15.6476,0.1041,0.1586,-2.4334,0.3440,0.3958,3.6349
23,C,0.7217,8.0067,0.1734,0.3292,0.2432,0,0.6515,null,-19.1445,-19.3109,-1.9496,-2.0804,-0.0358,-0.0278,0.7863,0.8585,39.3777,0.5562,18.4680,0.1184,0.1628,-2.3719,0.3440,0.3958,4.9539
